magic,full_ts_s2,full_ts_s3,full_ts_s4,full_ts_reg0.3_s1,lean_s1,lean_s2,lean_s3,lean_s4,baseline_final,baseline_qda_avg4
283,0.9542742476957822,0.9600653116034914,0.951779283403528,0.9664133553073309,0.9595159616675822,0.9534044436305928,0.9587377159250442,0.9501236037355795,0.9680461453946163,0.9554263565891473
284,0.9478382956643826,0.9508065377630595,0.9431684649075953,0.9517450821798648,0.9456178369221847,0.9469379034596425,0.9488455140629054,0.937590611503655,0.950585254933081,0.9479298609733394
285,0.9491888839714927,0.9555908251560425,0.9447098142750316,0.9558655210829123,0.9549422375509332,0.9516687777557342,0.9533703664138448,0.9455949455949455,0.9533169533169532,0.9490515360080577
286,0.9579001999664178,0.9503747462258247,0.9597777472485537,0.9401779853765017,0.9429790416876556,0.9585413136725129,0.9541298407900962,0.9599151287570027,0.9655782998275099,0.956556914106028
287,0.9493835072941464,0.9181163401086492,0.9334828785936642,0.95274827565159,0.9494140267350302,0.9499404870902765,0.9199398767014587,0.9347875846914485,0.940319233351645,0.9388390404687786
288,0.9469423082815037,0.9480989000888508,0.9576043996445969,0.9550614295781121,0.9580409939029995,0.9480069855081344,0.9510018689298078,0.9584316308710438,0.9415423266644197,0.9442997640859095
289,0.961044730392157,0.9589001225490197,0.962048100490196,0.956939338235294,0.9560968137254903,0.9567631740196078,0.9587392769607843,0.9602558210784313,0.9584252450980392,0.9566329656862745
290,0.9416086797289873,0.9427607886223525,0.9471861075505097,0.9366111212842582,0.9409296221693219,0.9476438991637675,0.9429362754074345,0.9484145150460844,0.9463468229262041,0.9460416285173656
291,0.9403452012147665,0.9583148930975017,0.9594747203442855,0.9610694828086132,0.9598257206952859,0.9405130709478536,0.9586277412364369,0.9597570467135684,0.9518519083736476,0.9472125993865124
292,0.9503268470659775,0.9521055031924597,0.947681666159927,0.9522119185162663,0.9552523563393128,0.9510033444816053,0.9505396777135907,0.947940103374886,0.9538309516570386,0.9574034660991183
293,0.9464679742568188,0.9455179282868527,0.9447287771988967,0.9492798038614773,0.9490806006742262,0.9485979160281949,0.9496628869138829,0.9465982224946369,0.950275819797732,0.9427673919705791
294,0.9534945867118664,0.9507841250935299,0.9504634507612197,0.9486462962114618,0.9472490723349671,0.9520973628353719,0.9489211599248706,0.9505398017927221,0.9531204666575045,0.953983233313482
295,0.9575474577305743,0.9641396569614845,0.9506195446499419,0.9662683879631325,0.9663370567051212,0.9588750534090216,0.9638726118537507,0.951802172984191,0.9605231032167492,0.9621406335835928
296,0.9693351775291829,0.9688183973735407,0.9670400656614787,0.9616822714007782,0.96396218385214,0.9701711454280154,0.9672528574902722,0.9687272008754864,0.96875,0.9676252431906616
